commonwealth_electoral_division_,commonwealth_electoral_divisio00,state_of_commonwealth_electoral_,abstudy__non_living_allowance_,abstudy__living_allowance_,age_pension,austudy,carer_allowance,carer_allowance__child_hcc_only_,carer_payment,double_orphan_pension,disability_support_pension,family_tax_benefit_a,family_tax_benefit_b,health_care_card,low_income_card,newstart_allowance,parenting_payment_partnered,parenting_payment_single,partner_allowance,pensioner_concession_card,commonwealth_seniors_health_card,sickness_allowance,special_benefit,widow_allowance,wife_pension__age_,wife_pension__dsp_,widow_b_pension,youth_allowance__other_,youth_allowance__student_,youth_allowance__apprentice_
209,Corangamite,Victoria,39,<20,16860,301,3398,166,1158,<20,4356,9670,7936,10091,3836,3556,454,1163,51,25258,2573,46,<20,148,27,40,<20,593,1886,76
210,Corio,Victoria,53,<20,19773,300,5419,216,2161,<20,7519,11159,9694,12681,3531,6141,657,2168,105,34405,1422,72,<20,233,55,46,<20,1121,1620,107
211,Deakin,Victoria,<20,<20,17166,297,2847,124,794,<20,4205,8248,7302,8930,3003,3393,571,812,30,24480,2668,47,48,151,21,<20,<20,394,1524,34
212,Dunkley,Victoria,27,<20,18066,281,3613,141,1270,<20,6140,10710,9364,10032,2736,4973,497,1962,44,29932,2061,73,<20,189,23,24,<20,738,1213,91
213,Flinders,Victoria,33,<20,22222,177,3993,116,1434,<20,5705,10992,9187,9436,2529,4283,550,1756,54,33190,3033,76,<20,201,31,35,<20,609,744,76
214,Gellibrand,Victoria,<20,24,16972,556,4776,128,1944,<20,5824,9645,8757,13321,3899,6892,860,1383,84,28864,1186,48,75,236,84,60,<20,684,2342,47
215,Gippsland,Victoria,107,36,20563,140,5174,208,2151,<20,7938,11067,9485,11755,2907,5726,749,2164,108,35524,2073,67,<20,204,52,75,<20,1086,714,86
216,Goldstein,Victoria,<20,<20,12185,222,2344,78,537,<20,2748,4228,3701,5242,1966,1882,161,428,<20,16659,3846,28,32,87,<20,<20,<20,143,1170,23
217,Gorton,Victoria,21,20,11350,267,6759,337,2991,20,6544,18056,15555,16494,3939,7254,1296,3038,112,27197,437,92,73,306,80,123,<20,1047,2140,78
218,Higgins,Victoria,<20,<20,9882,422,2114,57,517,<20,2870,3292,3023,5920,2342,2417,144,361,<20,14442,3004,<20,35,109,<20,<20,<20,185,1866,30
219,Holt,Victoria,36,<20,12992,300,5577,188,2567,32,6964,19160,15982,16523,4022,6520,1500,2395,76,27890,609,79,84,246,57,42,<20,1119,2318,100
220,Hotham,Victoria,<20,<20,18177,282,4108,149,1547,<20,4865,9564,8104,9986,3391,3997,617,972,87,27506,1759,44,81,234,62,36,<20,326,1982,40
221,Indi,Victoria,41,29,18742,149,4017,148,1546,<20,5873,10844,8673,9114,2198,4140,595,1809,69,30071,2329,59,<20,206,46,59,<20,741,738,61
222,Isaacs,Victoria,<20,<20,15427,252,3628,169,1400,<20,5065,10984,9395,10458,3052,4388,690,1429,50,25305,1482,38,52,204,32,<20,<20,566,1600,66
223,Jagajaga,Victoria,<20,<20,13507,348,3106,131,886,<20,3848,6712,6023,8085,3159,2848,335,816,32,20217,2646,51,37,135,27,20,<20,320,1696,41
224,Kooyong,Victoria,<20,<20,9019,345,1764,58,325,<20,1942,3274,2897,5607,2612,1544,115,208,<20,12006,4122,<20,34,74,<20,<20,<20,94,2099,<20
225,La Trobe,Victoria,<20,<20,11655,240,3217,162,963,<20,3517,11004,9318,9330,2969,3182,480,1204,31,18813,1302,47,23,146,<20,<20,<20,473,1323,43
226,Lalor,Victoria,46,22,11263,398,5446,246,2153,39,5210,19738,17340,17487,3923,6802,1557,2858,60,24229,835,87,54,219,53,57,<20,1088,1910,74
227,Mallee,Victoria,162,51,20063,106,4890,183,2061,<20,8147,11820,9332,11107,2597,4989,796,2052,60,34335,2412,69,<20,165,67,77,<20,939,558,86
228,Maribyrnong,Victoria,<20,<20,18911,449,5681,169,2233,<20,5405,9947,8903,13583,4390,6625,856,1537,106,30766,1645,49,61,253,103,57,<20,602,2641,48
229,McEwen,Victoria,32,<20,12867,205,5093,287,1856,<20,5026,16139,13856,12736,3272,4772,882,2273,58,23997,1373,96,23,168,43,47,<20,742,1322,78
230,McMillan,Victoria,35,<20,20018,189,4644,209,1706,<20,6781,13721,11600,11891,3046,5147,868,2411,80,33497,2355,65,<20,197,51,60,<20,934,913,79
231,Melbourne,Victoria,<20,70,8648,1250,2268,54,1041,21,5479,5511,5124,12463,5195,5868,601,1134,24,18048,1345,28,87,180,20,<20,<20,435,4476,31
232,Melbourne Ports,Victoria,<20,28,8200,532,1820,24,536,<20,4247,3735,3366,6935,2276,3575,270,499,<20,14540,2361,36,34,112,<20,<20,<20,230,1810,32
233,Menzies,Victoria,<20,<20,15651,223,3122,109,811,<20,2472,6197,5263,7430,3033,2277,310,480,41,20317,4159,27,71,141,25,<20,<20,175,1500,32
