State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
NSW,2042,"13,403","13,403","954,465,726","71,213","56,437",308,108
NSW,2043,"6,057","6,057","496,913,777","82,040","70,034",166,67
NSW,2044,"5,305","5,305","349,276,898","65,839","54,706",430,148
NSW,2045,"4,042","4,042","388,434,485","96,100","54,340",74,40
NSW,2046,"16,655","16,655","1,385,564,098","83,192","57,998",162,64
NSW,2047,"7,920","7,920","741,224,993","93,589","63,528",85,44
NSW,2048,"5,242","5,242","409,096,019","78,042","58,495",212,83
NSW,2049,"7,593","7,593","547,785,766","72,144","55,607",295,102
NSW,2050,"5,729","5,729","465,539,277","81,260","63,365",175,72
NSW,2052,117,117,"2,907,985","24,855","13,094","2,688",655
NSW,2057,205,205,"17,472,703","85,233","54,544",141,60
NSW,2059,225,225,"30,046,792","133,541","73,327",17,11
NSW,2060,"10,970","10,970","1,241,978,732","113,216","66,459",38,23
NSW,2061,"4,567","4,567","559,650,771","122,542","71,792",27,16
NSW,2062,"4,752","4,752","509,085,753","107,131","72,124",46,27
NSW,2063,"4,261","4,261","721,666,286","169,365","68,593",6,4
NSW,2064,"6,351","6,351","527,589,968","83,072","56,116",163,65
NSW,2065,"21,695","21,695","2,115,292,451","97,501","68,225",69,38
NSW,2066,"21,168","21,168","2,102,495,449","99,324","62,562",63,36
NSW,2067,"17,155","17,155","1,202,407,653","70,091","44,712",331,118
NSW,2068,"10,973","10,973","1,256,426,463","114,502","61,094",35,21
NSW,2069,"9,413","9,413","1,099,902,290","116,849","56,640",34,20
NSW,2070,"9,222","9,222","1,044,068,643","113,215","57,128",39,24
NSW,2071,"8,969","8,969","964,977,780","107,590","53,849",44,26
NSW,2072,"5,351","5,351","486,356,449","90,891","49,463",101,50
NSW,2073,"10,724","10,724","1,120,329,029","104,469","57,023",48,28
NSW,2074,"14,644","14,644","1,464,826,003","100,029","54,802",60,34
NSW,2075,"13,643","13,643","1,264,292,571","92,670","51,899",92,47
NSW,2076,"15,744","15,744","1,463,120,671","92,932","54,178",90,46
NSW,2077,"24,696","24,696","1,468,655,499","59,469","48,018",729,213
NSW,2079,"4,603","4,603","294,967,795","64,082","50,844",506,168
NSW,2080,"1,095","1,095","66,157,746","60,418","45,576",671,199
NSW,2081,"3,442","3,442","225,385,207","65,481","50,758",442,152
NSW,2082,"3,352","3,352","223,036,618","66,538","49,949",419,143
NSW,2083,"1,055","1,055","65,598,005","62,178","45,070",579,185
NSW,2084,"2,468","2,468","251,008,193","101,705","52,496",53,30
NSW,2085,"7,282","7,282","530,008,923","72,783","46,582",283,99
NSW,2086,"8,502","8,502","644,079,402","75,756","50,741",239,89
NSW,2087,"7,890","7,890","624,662,949","79,171","49,460",200,80
NSW,2088,"20,182","20,182","3,206,855,546","158,897","68,578",10,8
NSW,2089,"9,033","9,033","909,715,327","100,710","66,474",57,33
NSW,2090,"9,424","9,424","1,067,599,535","113,285","68,764",37,22
NSW,2092,"4,655","4,655","580,612,670","124,729","59,739",24,15
NSW,2093,"15,063","15,063","1,526,639,543","101,350","56,328",55,32
NSW,2094,"4,333","4,333","447,818,911","103,351","63,801",51,29
NSW,2095,"12,323","12,323","1,386,674,509","112,527","62,188",40,25
NSW,2096,"10,108","10,108","947,065,813","93,695","59,932",84,43
NSW,2097,"10,464","10,464","856,979,211","81,898","51,689",168,69
NSW,2098,70,70,"4,148,161","59,259","45,634",742,216
NSW,2099,"26,514","26,514","1,745,598,279","65,837","48,106",431,149
NSW,2100,"13,875","13,875","996,645,364","71,830","49,963",297,103
NSW,2101,"12,619","12,619","904,401,284","71,670","49,649",298,104
NSW,2102,"4,747","4,747","355,688,899","74,929","51,257",251,92
NSW,2103,"7,407","7,407","545,694,410","73,673","48,687",272,96
NSW,2104,"2,411","2,411","229,638,257","95,246","47,671",76,41
NSW,2105,"1,398","1,398","138,467,051","99,047","52,054",64,37
NSW,2106,"6,769","6,769","596,858,119","88,175","49,269",120,54
NSW,2107,"10,219","10,219","860,380,958","84,194","47,583",152,62
NSW,2108,"1,279","1,279","294,592,043","230,330","52,234",2,1
