State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
NSW,2446,"7,059","7,059","313,254,578","44,377","36,532","2,089",528
NSW,2447,"3,631","3,631","151,073,864","41,607","34,377","2,342",583
NSW,2448,"4,018","4,018","163,363,884","40,658","33,560","2,408",599
NSW,2449,970,970,"34,381,746","35,445","28,858","2,618",644
NSW,2450,"24,764","24,764","1,189,651,659","48,040","38,310","1,691",436
NSW,2452,"7,934","7,934","353,861,619","44,601","38,445","2,072",522
NSW,2453,"1,520","1,520","58,056,833","38,195","30,297","2,544",629
NSW,2454,"4,112","4,112","177,999,873","43,288","34,112","2,194",557
NSW,2455,"1,591","1,591","71,069,808","44,670","36,899","2,064",518
NSW,2456,"8,765","8,765","371,191,204","42,349","34,795","2,282",573
NSW,2460,"14,118","14,118","611,695,619","43,327","36,939","2,189",555
NSW,2462,"1,129","1,129","44,325,727","39,261","31,711","2,500",620
NSW,2463,"3,824","3,824","164,205,043","42,941","35,234","2,226",565
NSW,2464,"3,599","3,599","154,767,306","43,003","32,472","2,216",561
NSW,2465,182,182,"7,392,706","40,619","35,205","2,413",601
NSW,2466,726,726,"27,784,317","38,270","30,658","2,539",626
NSW,2469,"1,765","1,765","62,326,557","35,312","28,843","2,622",645
NSW,2470,"7,274","7,274","297,564,905","40,908","37,461","2,389",595
NSW,2471,"1,249","1,249","47,298,318","37,869","34,582","2,554",630
NSW,2472,"1,063","1,063","43,157,427","40,600","35,840","2,415",602
NSW,2473,"1,516","1,516","67,209,242","44,333","37,208","2,095",531
NSW,2474,"3,220","3,220","122,992,233","38,196","31,922","2,543",628
NSW,2475,167,167,"5,390,954","32,281","27,006","2,662",651
NSW,2476,357,357,"13,276,196","37,188","30,403","2,575",634
NSW,2477,"7,010","7,010","328,107,598","46,806","36,962","1,805",459
NSW,2478,"17,189","17,189","839,211,840","48,823","37,858","1,607",417
NSW,2479,"3,235","3,235","176,080,624","54,430","36,481","1,100",306
NSW,2480,"24,333","24,333","1,077,112,962","44,266","37,379","2,103",533
NSW,2481,"8,868","8,868","476,255,185","53,705","32,982","1,174",322
NSW,2482,"3,901","3,901","160,888,752","41,243","30,288","2,371",589
NSW,2483,"6,473","6,473","271,634,620","41,964","33,428","2,313",580
NSW,2484,"10,255","10,255","440,888,568","42,993","34,767","2,220",563
NSW,2485,"7,449","7,449","338,639,063","45,461","36,922","1,970",503
NSW,2486,"16,712","16,712","763,843,572","45,706","37,920","1,946",496
NSW,2487,"7,876","7,876","455,066,418","57,779","40,801",844,241
NSW,2488,"2,016","2,016","95,157,776","47,201","37,901","1,761",454
NSW,2489,"4,025","4,025","190,692,934","47,377","37,672","1,740",448
NSW,2490,415,415,"19,252,635","46,392","36,693","1,854",471
NSW,2500,"22,058","22,058","1,227,058,507","55,629","42,267",995,281
NSW,2502,"5,119","5,119","233,637,366","45,641","39,214","1,951",497
NSW,2505,"2,517","2,517","127,339,787","50,592","42,726","1,443",385
NSW,2506,"3,653","3,653","177,396,012","48,562","41,050","1,627",421
NSW,2508,"5,628","5,628","361,191,667","64,178","50,054",504,167
NSW,2515,"7,010","7,010","500,580,723","71,410","51,236",305,107
NSW,2516,"3,737","3,737","259,489,199","69,438","52,367",347,124
NSW,2517,"7,571","7,571","461,817,003","60,998","47,757",637,193
NSW,2518,"10,234","10,234","550,191,179","53,761","44,054","1,167",320
NSW,2519,"9,325","9,325","530,380,977","56,877","42,941",907,258
NSW,2520,252,252,"13,408,393","53,208","39,659","1,209",330
NSW,2525,"6,746","6,746","393,922,004","58,393","44,976",795,227
NSW,2526,"8,993","8,993","523,202,082","58,179","45,640",816,233
NSW,2527,"11,962","11,962","626,008,552","52,333","44,858","1,272",347
NSW,2528,"11,239","11,239","543,520,642","48,360","40,691","1,648",428
NSW,2529,"14,951","14,951","845,617,281","56,559","45,031",927,265
NSW,2530,"17,554","17,554","914,522,159","52,098","43,718","1,294",351
NSW,2533,"9,748","9,748","568,198,878","58,289","42,439",806,230
NSW,2534,"3,333","3,333","191,855,007","57,562","42,284",854,242
NSW,2535,"4,245","4,245","231,082,259","54,436","38,940","1,099",305
NSW,2536,"9,302","9,302","400,973,897","43,106","35,712","2,208",560
NSW,2537,"6,630","6,630","290,401,537","43,801","35,802","2,148",546
NSW,2538,"1,395","1,395","68,559,211","49,146","34,884","1,575",410
NSW,2539,"9,775","9,775","402,234,239","41,149","33,412","2,376",591
NSW,2540,"22,337","22,337","1,037,617,698","46,453","37,664","1,843",466
NSW,2541,"13,233","13,233","629,718,949","47,587","39,469","1,720",445
NSW,2545,612,612,"24,881,503","40,656","32,672","2,409",600
NSW,2546,"4,872","4,872","193,781,854","39,775","30,738","2,461",613
NSW,2548,"4,688","4,688","213,193,931","45,477","36,570","1,969",502
NSW,2549,"2,244","2,244","103,480,018","46,114","36,916","1,883",480
NSW,2550,"9,321","9,321","426,192,365","45,724","37,362","1,941",493
NSW,2551,"1,921","1,921","84,452,924","43,963","36,497","2,129",540
NSW,2555,126,126,"6,196,236","49,176","39,984","1,572",409
NSW,2556,"1,446","1,446","82,661,032","57,165","42,872",886,249
NSW,2557,"5,832","5,832","348,198,688","59,705","50,820",709,209
NSW,2558,"6,489","6,489","333,510,879","51,396","47,365","1,360",363
NSW,2559,938,938,"39,402,827","42,007","38,556","2,309",579
NSW,2560,"41,352","41,352","2,119,471,326","51,254","45,815","1,374",366
NSW,2563,164,164,"10,204,683","62,224","46,452",574,183
NSW,2564,"6,755","6,755","312,888,582","46,320","42,684","1,863",473
NSW,2565,"12,117","12,117","660,971,647","54,549","46,293","1,092",304
NSW,2566,"14,884","14,884","740,817,376","49,773","44,910","1,515",400
NSW,2567,"23,015","23,015","1,393,015,483","60,526","51,589",664,198
NSW,2568,721,721,"42,641,772","59,143","43,079",752,220
NSW,2569,851,851,"49,288,107","57,918","46,971",836,238
NSW,2570,"25,989","25,989","1,630,173,283","62,726","51,416",551,176
NSW,2571,"7,312","7,312","448,080,727","61,280","50,232",619,192
NSW,2572,"2,458","2,458","137,930,605","56,115","45,505",963,273
NSW,2573,"2,651","2,651","138,968,329","52,421","46,074","1,265",345
NSW,2574,"3,287","3,287","176,120,390","53,581","45,033","1,184",324
NSW,2575,"9,434","9,434","553,149,728","58,634","41,973",780,224
NSW,2576,"8,428","8,428","582,517,960","69,117","40,592",353,125
NSW,2577,"9,098","9,098","523,072,536","57,493","40,700",863,243
NSW,2578,"1,511","1,511","71,350,387","47,221","35,786","1,758",452
NSW,2579,"2,309","2,309","122,876,832","53,216","40,076","1,208",329
NSW,2580,"15,967","15,967","823,985,249","51,606","43,344","1,336",358
NSW,2581,"1,268","1,268","72,034,340","56,809","47,860",914,260
NSW,2582,"7,627","7,627","478,271,010","62,708","50,492",553,177
NSW,2583,"2,543","2,543","113,422,269","44,602","36,687","2,071",521
NSW,2584,317,317,"14,750,934","46,533","40,837","1,833",464
NSW,2585,160,160,"11,131,737","69,573","41,330",344,123
NSW,2586,"1,428","1,428","63,641,146","44,567","37,438","2,074",523
NSW,2587,"1,463","1,463","69,405,341","47,440","39,394","1,733",447
NSW,2588,211,211,"12,621,073","59,816","39,116",705,207
NSW,2590,"3,651","3,651","171,156,155","46,879","39,433","1,798",458
NSW,2594,"6,125","6,125","281,681,817","45,989","38,496","1,901",487
NSW,2618,867,867,"66,506,109","76,708","53,556",231,88
NSW,2619,"6,187","6,187","527,964,508","85,334","69,436",139,59
NSW,2620,"25,281","25,281","1,623,788,417","64,230","55,402",500,165
NSW,2621,"4,078","4,078","285,563,442","70,025","59,465",334,119
NSW,2622,"2,224","2,224","110,935,624","49,881","39,174","1,504",396
NSW,2623,356,356,"18,912,527","53,125","51,918","1,215",333
NSW,2624,60,60,"2,102,641","35,044","22,161","2,627",646
NSW,2625,181,181,"8,750,699","48,346","42,695","1,650",429
NSW,2626,305,305,"16,942,322","55,549","51,126",997,282
NSW,2627,"2,939","2,939","149,073,324","50,722","40,108","1,429",379
NSW,2628,"1,080","1,080","47,735,729","44,200","37,988","2,110",534
NSW,2629,267,267,"10,988,047","41,154","32,325","2,375",590
NSW,2630,"5,101","5,101","259,892,917","50,949","41,329","1,404",374
NSW,2631,350,350,"19,506,679","55,733","38,582",984,279
NSW,2632,"1,095","1,095","57,452,932","52,468","44,811","1,259",344
NSW,2633,205,205,"9,638,970","47,019","36,286","1,784",456
NSW,2640,"21,645","21,645","1,173,531,154","54,217","43,943","1,121",309
NSW,2641,"8,223","8,223","370,026,934","44,999","40,104","2,032",510
NSW,2642,"3,023","3,023","145,594,610","48,162","41,220","1,672",434
NSW,2643,"1,543","1,543","65,496,187","42,447","37,520","2,269",571
NSW,2644,"1,426","1,426","68,254,973","47,865","37,245","1,703",438
NSW,2645,227,227,"10,688,100","47,084","39,506","1,772",455
NSW,2646,"3,885","3,885","174,420,318","44,896","38,728","2,042",513
NSW,2647,"1,240","1,240","52,642,472","42,454","36,099","2,266",570
NSW,2648,"1,218","1,218","53,364,743","43,813","34,736","2,145",544
NSW,2650,"33,206","33,206","1,818,236,720","54,756","45,362","1,070",298
NSW,2651,"1,140","1,140","57,750,005","50,658","48,194","1,434",382
NSW,2652,"2,842","2,842","140,441,431","49,416","42,400","1,551",405
NSW,2653,"1,400","1,400","67,785,685","48,418","41,424","1,645",426
NSW,2655,819,819,"36,817,826","44,955","41,913","2,035",511
NSW,2656,702,702,"33,793,392","48,139","41,675","1,678",435
NSW,2658,740,740,"31,269,476","42,256","35,562","2,290",575
NSW,2659,522,522,"21,234,033","40,678","34,912","2,406",598
NSW,2660,891,891,"41,083,709","46,110","39,423","1,884",481
NSW,2661,138,138,"8,779,207","63,617","69,313",524,172
NSW,2663,"2,319","2,319","111,853,946","48,234","42,522","1,666",433
NSW,2665,"1,209","1,209","53,771,001","44,476","35,414","2,081",525
NSW,2666,"3,095","3,095","140,848,779","45,508","37,129","1,966",501
NSW,2668,202,202,"8,274,636","40,964","33,060","2,385",594
NSW,2669,953,953,"44,128,444","46,305","37,269","1,867",474
NSW,2671,"2,265","2,265","115,262,445","50,888","40,016","1,410",376
NSW,2672,842,842,"38,886,765","46,184","38,918","1,876",477
NSW,2675,988,988,"45,070,752","45,618","39,959","1,955",499
NSW,2680,"15,009","15,009","734,554,751","48,941","42,586","1,599",416
NSW,2681,987,987,"45,496,706","46,096","42,206","1,885",482
NSW,2700,"2,555","2,555","114,056,205","44,640","39,471","2,066",519
NSW,2701,"1,329","1,329","67,291,071","50,633","42,045","1,438",384
NSW,2702,393,393,"18,149,836","46,183","36,987","1,878",479
NSW,2703,408,408,"17,604,691","43,149","40,958","2,203",558
NSW,2705,"5,745","5,745","273,832,341","47,664","42,518","1,713",442
NSW,2706,650,650,"29,220,026","44,954","42,414","2,036",512
NSW,2707,902,902,"39,512,288","43,805","38,757","2,146",545
NSW,2710,"5,695","5,695","248,992,374","43,721","37,399","2,153",548
NSW,2711,"1,885","1,885","86,508,430","45,893","39,119","1,913",490
NSW,2712,733,733,"30,538,425","41,662","34,744","2,337",582
NSW,2713,"1,538","1,538","60,517,439","39,348","35,347","2,493",618
NSW,2714,"1,409","1,409","60,018,717","42,597","34,118","2,258",569
NSW,2715,800,800,"37,764,975","47,206","40,815","1,760",453
NSW,2716,703,703,"33,564,903","47,745","37,451","1,710",441
NSW,2717,586,586,"25,026,507","42,707","35,146","2,250",567
NSW,2720,"4,381","4,381","228,309,836","52,114","43,800","1,292",350
NSW,2721,129,129,"4,102,108","31,799","29,386","2,670",653
NSW,2722,"1,733","1,733","82,480,113","47,594","39,370","1,718",443
NSW,2725,161,161,"7,084,481","44,003","36,449","2,125",539
NSW,2726,174,174,"7,961,778","45,757","39,258","1,935",492
NSW,2727,237,237,"13,442,719","56,720","39,129",916,261
NSW,2729,920,920,"47,138,126","51,237","38,960","1,378",368
NSW,2730,829,829,"35,154,828","42,406","36,818","2,274",572
NSW,2731,"3,580","3,580","235,674,729","65,831","39,745",432,150
NSW,2732,"1,037","1,037","42,087,252","40,586","33,221","2,416",603
NSW,2733,339,339,"13,669,579","40,323","36,606","2,430",608
NSW,2734,123,123,"6,021,075","48,952","39,761","1,598",415
NSW,2735,177,177,"5,853,269","33,069","33,297","2,653",650
NSW,2736,199,199,"8,649,838","43,467","34,724","2,176",553
NSW,2737,452,452,"30,468,634","67,408","35,908",395,137
NSW,2738,915,915,"56,990,886","62,285","45,321",572,182
NSW,2739,680,680,"33,538,313","49,321","40,546","1,560",407
NSW,2745,"17,993","17,993","1,145,070,081","63,640","53,891",522,171
NSW,2747,"24,506","24,506","1,327,771,255","54,181","48,888","1,125",311
NSW,2748,"1,401","1,401","98,271,078","70,144","48,938",328,115
NSW,2749,"9,898","9,898","577,182,072","58,313","50,548",804,229
NSW,2750,"25,584","25,584","1,436,907,615","56,164","48,802",960,270
NSW,2751,226,226,"12,394,890","54,845","44,705","1,065",297
NSW,2752,"3,096","3,096","179,830,338","58,085","50,844",824,235
NSW,2753,"9,947","9,947","560,677,693","56,367","46,043",949,268
NSW,2754,"3,379","3,379","188,004,273","55,639","45,418",994,280
NSW,2755,88,88,"6,030,635","68,530","64,736",367,129
NSW,2756,"20,658","20,658","1,202,840,849","58,226","48,326",810,232
NSW,2757,585,585,"30,194,108","51,614","43,269","1,334",357
NSW,2758,"5,502","5,502","333,427,602","60,601","48,758",658,195
NSW,2759,"16,232","16,232","893,567,641","55,050","49,591","1,040",290
NSW,2760,"17,586","17,586","884,009,203","50,268","47,013","1,463",388
NSW,2761,"18,294","18,294","965,479,098","52,776","48,372","1,240",339
NSW,2762,"4,401","4,401","261,709,732","59,466","53,430",730,214
NSW,2763,"18,265","18,265","1,039,937,561","56,936","50,810",901,256
NSW,2765,"9,897","9,897","592,732,518","59,890","48,361",702,206
NSW,2766,"8,747","8,747","449,353,951","51,372","47,135","1,365",364
NSW,2767,"12,937","12,937","670,312,229","51,814","47,249","1,315",356
NSW,2768,"16,171","16,171","1,005,185,677","62,160","52,546",580,186
NSW,2769,"7,105","7,105","488,199,932","68,712","60,293",362,128
NSW,2770,"27,183","27,183","1,252,110,324","46,062","42,283","1,890",483
NSW,2773,"3,853","3,853","269,147,031","69,854","51,828",340,121
NSW,2774,"7,837","7,837","476,117,184","60,752","49,621",646,194
NSW,2775,843,843,"46,769,382","55,480","41,035","1,002",284
NSW,2776,"2,535","2,535","152,730,833","60,249","49,969",682,201
NSW,2777,"10,729","10,729","635,264,678","59,210","47,819",747,218
NSW,2778,"1,510","1,510","86,594,117","57,347","44,962",873,247
NSW,2779,"2,855","2,855","152,849,543","53,537","45,115","1,188",326
NSW,2780,"7,513","7,513","367,937,515","48,973","37,104","1,597",414
NSW,2782,"3,471","3,471","194,856,650","56,138","41,507",961,271
NSW,2783,"1,592","1,592","81,101,106","50,943","42,357","1,405",375
NSW,2784,742,742,"39,010,995","52,575","42,106","1,250",343
NSW,2785,"2,645","2,645","137,879,671","52,128","38,198","1,290",349
NSW,2786,660,660,"31,993,262","48,475","39,510","1,636",425
NSW,2787,"2,394","2,394","115,499,899","48,246","42,256","1,663",432
NSW,2790,"7,357","7,357","398,766,594","54,202","42,751","1,122",310
NSW,2791,172,172,"9,438,526","54,875","43,240","1,058",294
NSW,2792,195,195,"10,642,614","54,578","40,023","1,087",302
NSW,2793,486,486,"24,782,327","50,992","34,964","1,399",372
NSW,2794,"5,524","5,524","240,604,377","43,556","37,541","2,165",552
NSW,2795,"22,728","22,728","1,225,381,659","53,915","44,626","1,150",316
NSW,2797,237,237,"10,352,732","43,682","36,276","2,155",549
NSW,2798,"1,262","1,262","78,903,283","62,522","45,738",557,180
NSW,2799,"2,176","2,176","108,732,334","49,969","42,322","1,490",392
NSW,2800,"24,972","24,972","1,434,606,290","57,449","44,958",867,244
NSW,2803,159,159,"5,907,692","37,155","30,945","2,578",636
NSW,2804,"1,387","1,387","62,138,033","44,800","36,171","2,049",515
NSW,2805,224,224,"12,497,588","55,793","38,478",980,277
NSW,2806,470,470,"21,631,627","46,025","40,264","1,895",484
NSW,2807,191,191,"7,735,146","40,498","36,747","2,421",604
NSW,2808,68,68,"2,868,973","42,191","37,198","2,293",576
NSW,2809,114,114,"5,425,445","47,592","41,021","1,719",444
NSW,2810,"1,660","1,660","72,118,451","43,445","36,996","2,177",554
NSW,2817,76,76,"2,848,762","37,484","36,011","2,569",633
NSW,2818,407,407,"19,687,301","48,372","45,086","1,646",427
NSW,2820,"3,087","3,087","139,765,640","45,276","38,399","1,991",506
NSW,2821,"2,530","2,530","117,499,160","46,442","40,232","1,848",468
NSW,2822,119,119,"4,412,173","37,077","31,892","2,580",637
NSW,2823,762,762,"38,644,697","50,715","41,868","1,430",380
NSW,2824,"1,231","1,231","61,644,624","50,077","42,215","1,476",390
NSW,2825,"1,355","1,355","80,740,484","59,587","43,152",721,212
NSW,2826,109,109,"6,753,847","61,962","46,422",589,188
NSW,2827,"1,848","1,848","81,979,171","44,361","39,385","2,090",529
NSW,2828,362,362,"16,049,554","44,336","37,011","2,093",530
NSW,2829,"1,466","1,466","77,667,145","52,979","43,168","1,228",337
NSW,2830,"23,333","23,333","1,227,309,029","52,600","44,697","1,248",341
NSW,2831,"1,402","1,402","64,475,843","45,988","38,736","1,902",488
NSW,2832,"1,222","1,222","56,759,843","46,448","37,926","1,845",467
NSW,2833,249,249,"11,443,942","45,960","38,166","1,909",489
NSW,2834,890,890,"35,005,974","39,333","32,786","2,494",619
NSW,2835,"2,259","2,259","153,321,689","67,871","53,785",384,134
NSW,2836,313,313,"16,851,848","53,840","41,811","1,157",318
NSW,2838,53,53,"2,187,620","41,276","36,628","2,369",588
NSW,2839,467,467,"22,787,816","48,796","42,478","1,610",418
NSW,2840,"1,308","1,308","69,761,414","53,334","46,070","1,202",327
NSW,2842,270,270,"9,796,294","36,283","31,102","2,596",639
NSW,2843,711,711,"27,783,095","39,076","31,605","2,507",622
NSW,2844,647,647,"31,029,036","47,958","37,646","1,694",437
NSW,2845,"1,018","1,018","55,583,966","54,601","44,178","1,082",301
NSW,2846,136,136,"5,361,208","39,421","29,415","2,486",617
NSW,2847,"1,095","1,095","55,824,274","50,981","39,830","1,400",373
NSW,2848,544,544,"22,455,969","41,279","31,134","2,368",587
NSW,2849,773,773,"35,576,987","46,025","34,085","1,896",485
NSW,2850,"9,647","9,647","526,451,038","54,571","41,021","1,089",303
NSW,2852,"1,735","1,735","85,002,126","48,993","36,941","1,594",413
NSW,2864,476,476,"22,521,579","47,314","40,070","1,749",449
NSW,2865,463,463,"22,362,516","48,299","40,887","1,654",431
NSW,2866,"1,630","1,630","79,073,184","48,511","40,058","1,632",423
NSW,2867,328,328,"14,723,553","44,889","36,356","2,043",514
NSW,2868,329,329,"13,641,184","41,463","35,890","2,355",584
NSW,2869,694,694,"26,511,232","38,201","34,602","2,542",627
NSW,2870,"6,310","6,310","313,312,638","49,653","41,293","1,529",402
NSW,2871,"4,816","4,816","229,068,533","47,564","40,150","1,721",446
NSW,2873,362,362,"15,863,928","43,823","36,989","2,144",543
NSW,2874,254,254,"10,737,208","42,272","39,533","2,287",574
NSW,2875,466,466,"20,521,460","44,037","35,720","2,123",538
NSW,2876,238,238,"8,843,504","37,158","30,604","2,577",635
NSW,2877,"1,982","1,982","91,815,271","46,325","38,714","1,861",472
NSW,2878,171,171,"11,986,905","70,099","53,730",330,117
NSW,2879,214,214,"11,018,406","51,488","41,962","1,351",362
NSW,2880,"8,704","8,704","473,024,970","54,346","44,723","1,110",308
NSW,2898,297,297,"20,135,094","67,795","40,846",386,135
NSW,2899,"1,141","1,141","44,010,076","38,572","34,528","2,526",625
NT,800,"5,469","5,469","410,830,504","75,120","54,381",248,7
NT,801,688,688,"60,312,128","87,663","67,776",123,1
NT,804,168,168,"12,890,900","76,732","62,451",230,4
NT,810,"21,199","21,199","1,361,828,914","64,240","54,207",499,23
NT,811,383,383,"29,355,947","76,647","62,541",232,5
NT,812,"11,330","11,330","711,519,056","62,800","55,061",550,26
NT,813,106,106,"7,090,894","66,895","61,642",409,16
NT,814,187,187,"13,609,255","72,777","64,018",284,9
NT,820,"12,940","12,940","1,019,498,142","78,787","61,759",207,3
NT,821,546,546,"40,753,017","74,639","61,504",255,8
NT,822,"5,981","5,981","277,858,436","46,457","34,654","1,842",40
NT,828,746,746,"50,680,345","67,936","52,406",381,15
NT,829,325,325,"19,548,792","60,150","57,849",688,28
NT,830,"11,171","11,171","737,456,072","66,015","58,322",427,18
NT,831,945,945,"71,108,435","75,247","65,056",246,6
NT,832,"9,845","9,845","700,945,671","71,198","62,737",309,10
NT,834,492,492,"34,842,749","70,819","56,399",314,11
NT,835,"3,176","3,176","221,441,240","69,723","59,222",343,12
NT,836,"4,870","4,870","331,594,644","68,089","57,033",379,14
NT,837,569,569,"32,350,762","56,855","47,616",911,33
NT,838,486,486,"31,640,400","65,104","55,358",462,20
NT,839,835,835,"54,957,727","65,818","58,304",433,19
NT,840,174,174,"8,594,658","49,395","42,678","1,552",39
NT,841,311,311,"20,619,467","66,301","56,410",421,17
NT,845,371,371,"19,444,726","52,412","45,040","1,266",37
NT,846,198,198,"10,873,144","54,915","48,084","1,052",34
NT,847,141,141,"5,659,956","40,142","36,113","2,441",44
NT,850,"3,933","3,933","228,095,575","57,995","51,521",830,31
NT,851,"1,061","1,061","63,134,325","59,505","53,582",727,29
NT,852,"1,844","1,844","70,049,469","37,988","31,730","2,550",45
NT,853,538,538,"34,690,120","64,480","66,866",489,22
NT,854,438,438,"17,916,788","40,906","33,934","2,390",43
NT,860,984,984,"56,335,043","57,251","50,130",878,32
NT,861,612,612,"33,107,235","54,097","48,314","1,134",36
NT,862,233,233,"10,028,905","43,043","37,279","2,214",41
NT,870,"14,153","14,153","859,138,504","60,704","52,937",648,27
NT,871,"1,605","1,605","101,050,716","62,960","55,341",542,24
NT,872,"3,933","3,933","168,122,967","42,747","34,050","2,245",42
NT,873,177,177,"8,941,974","50,520","47,243","1,444",38
NT,874,85,85,"5,838,583","68,689","57,600",363,13
NT,875,375,375,"20,354,253","54,278","48,567","1,116",35
NT,880,793,793,"46,244,992","58,317","46,138",803,30
NT,881,"1,754","1,754","113,771,410","64,864","55,692",476,21
NT,885,527,527,"43,921,884","83,343","75,417",158,2
NT,886,815,815,"51,237,240","62,868","56,003",548,25
QLD,4000,"12,738","12,738","792,072,556","62,182","34,572",578,74
QLD,4001,576,576,"51,234,783","88,949","37,968",111,9
QLD,4002,63,63,"4,003,610","63,549","46,745",527,64
QLD,4003,62,62,"4,033,611","65,058","53,478",467,56
QLD,4004,148,148,"9,558,724","64,586","46,530",483,58
QLD,4005,"12,426","12,426","1,149,248,695","92,487","60,497",93,7
QLD,4006,"12,969","12,969","866,837,587","66,839","49,002",412,48
QLD,4007,"9,278","9,278","997,183,448","107,478","56,046",45,1
QLD,4008,225,225,"13,132,003","58,364","52,062",799,100
QLD,4009,100,100,"6,687,563","66,876","45,272",410,47
QLD,4010,"2,373","2,373","151,504,142","63,845","52,580",514,62
QLD,4011,"10,311","10,311","890,111,327","86,326","54,507",132,10
QLD,4012,"14,619","14,619","943,324,474","64,527","53,998",486,59
QLD,4013,"3,151","3,151","196,736,313","62,436","50,805",562,68
QLD,4014,"7,699","7,699","457,196,938","59,384","51,102",735,92
QLD,4017,"21,858","21,858","1,232,353,475","56,380","47,862",947,117
QLD,4018,"7,498","7,498","387,888,685","51,732","46,864","1,321",181
QLD,4019,"11,073","11,073","575,353,032","51,960","44,119","1,304",178
QLD,4020,"12,710","12,710","717,955,014","56,487","43,104",933,112
QLD,4021,"4,800","4,800","225,945,694","47,072","41,216","1,774",268
QLD,4022,"3,344","3,344","155,233,081","46,421","41,158","1,849",286
QLD,4025,108,108,"4,307,101","39,881","42,642","2,454",380
QLD,4029,50,50,"4,841,077","96,822","59,259",71,5
QLD,4030,"11,300","11,300","791,140,054","70,012","52,404",335,34
QLD,4031,"8,580","8,580","575,562,181","67,082","53,976",404,45
QLD,4032,"10,126","10,126","544,690,804","53,791","45,337","1,162",151
QLD,4034,"27,356","27,356","1,510,421,382","55,214","46,468","1,028",128
QLD,4035,"16,059","16,059","1,072,442,513","66,781","51,059",413,49
QLD,4036,"3,956","3,956","213,193,332","53,891","46,770","1,152",148
QLD,4037,"5,055","5,055","324,784,174","64,250","53,134",498,61
QLD,4051,"18,088","18,088","1,397,767,176","77,276","55,630",221,20
QLD,4052,62,62,"3,865,952","62,354","48,824",567,70
QLD,4053,"27,693","27,693","1,673,940,281","60,446","51,155",667,82
QLD,4054,"8,301","8,301","458,813,577","55,272","48,471","1,024",126
QLD,4055,"12,856","12,856","800,629,696","62,277","51,961",573,72
QLD,4059,"7,724","7,724","517,024,794","66,937","47,889",408,46
QLD,4060,"8,465","8,465","712,715,245","84,196","57,925",151,13
QLD,4061,"10,531","10,531","739,198,963","70,193","51,360",326,33
QLD,4064,"8,089","8,089","720,404,915","89,060","54,908",110,8
QLD,4065,"6,233","6,233","603,565,446","96,834","61,073",70,4
QLD,4066,"11,230","11,230","808,123,886","71,961","49,950",296,29
QLD,4067,"5,192","5,192","386,760,994","74,492","36,639",259,23
QLD,4068,"15,148","15,148","1,168,787,828","77,158","46,746",224,21
QLD,4069,"22,133","22,133","1,844,108,049","83,319","52,316",160,14
QLD,4070,"7,146","7,146","465,256,302","65,107","51,214",461,52
QLD,4073,"5,660","5,660","389,822,086","68,873","52,430",357,41
QLD,4074,"15,427","15,427","936,095,940","60,679","48,359",650,79
QLD,4075,"14,904","14,904","1,040,928,744","69,842","51,902",341,35
QLD,4076,"2,675","2,675","126,458,597","47,274","41,721","1,753",263
QLD,4077,"14,469","14,469","615,057,274","42,509","38,367","2,261",350
QLD,4078,"14,564","14,564","765,132,078","52,536","46,840","1,255",165
QLD,4101,"16,928","16,928","1,175,751,466","69,456","47,694",346,37
QLD,4102,"5,457","5,457","293,039,960","53,700","42,534","1,175",152
QLD,4103,"9,239","9,239","532,206,734","57,604","45,831",852,105
QLD,4104,"4,293","4,293","317,444,126","73,945","50,880",266,25
QLD,4105,"8,641","8,641","538,401,369","62,308","49,393",570,71
QLD,4106,"1,022","1,022","50,553,534","49,465","44,642","1,543",229
QLD,4107,"3,932","3,932","209,900,144","53,383","46,322","1,197",156
QLD,4108,"3,636","3,636","159,346,126","43,825","36,576","2,141",334
QLD,4109,"23,150","23,150","1,055,155,573","45,579","33,000","1,958",300
QLD,4110,"6,247","6,247","301,016,854","48,186","42,713","1,669",248
QLD,4111,650,650,"29,922,869","46,035","38,012","1,893",289
QLD,4112,"4,576","4,576","243,561,898","53,226","40,793","1,207",159
QLD,4113,"18,848","18,848","860,296,798","45,644","35,508","1,950",298
QLD,4114,"12,069","12,069","479,155,080","39,701","37,639","2,469",383
QLD,4115,"11,802","11,802","609,015,234","51,603","44,560","1,337",187
QLD,4116,"15,562","15,562","753,615,658","48,427","40,004","1,642",244
QLD,4117,854,854,"43,014,252","50,368","46,165","1,455",213
QLD,4118,"17,571","17,571","868,306,965","49,417","44,682","1,550",232
QLD,4119,"3,763","3,763","198,028,155","52,625","43,109","1,245",163
QLD,4120,"6,368","6,368","389,144,198","61,109","50,024",629,78
QLD,4121,"15,704","15,704","1,086,188,341","69,166","53,653",352,38
QLD,4122,"26,614","26,614","1,452,967,081","54,594","45,123","1,084",140
QLD,4123,"11,625","11,625","644,470,886","55,438","47,037","1,006",123
QLD,4124,"10,875","10,875","576,818,709","53,041","46,389","1,225",161
QLD,4125,"4,331","4,331","214,208,364","49,459","43,033","1,545",230
QLD,4127,"14,905","14,905","769,496,570","51,627","44,713","1,333",186
QLD,4128,"10,252","10,252","564,462,034","55,059","48,064","1,039",133
